,minimum_temperature_in_dc,maximum_temperature_in_dc,rainfall_in_mm,evaporation_in_mm,sunshine_in_hours,direction_of_maximum_wind_gust,speed_of_maximum_wind_gust_in_kmph,time_of_maximum_wind_gust,9am_temperature_in_dc,9am_relative_humidity_in_pct,9am_cloud_amount_in_oktas,9am_wind_direction,9am_wind_speed_in_kmph,9am_msl_pressure_in_hpa,3pm_temperature_in_dc,3pm_relative_humidity_in_pct,3pm_cloud_amount_in_oktas,3pm_wind_direction,3pm_wind_speed_in_kmph,3pm_msl_pressure_in_hpa,max_demand,price_category,mean_temp
15/04/2021,14,20.2,0,7.4,5.4,SW,39,14:25,15.8,52,3,WNW,11,1016.2,15.7,71,7,WNW,6,1015.3,5936.95,2,16.425
23/05/2021,6.1,20.2,0,3.4,8.8,NNW,24,13:50,8.7,78,3,NNE,11,1027.4,20.1,42,3,NNE,13,1024.9,5999.22,4,13.775
1/02/2021,13.4,20.3,0,7.4,1.6,S,33,21:08,16.9,76,7,N,7,1012.8,19.4,69,7,S,13,1011.9,5228.29,2,17.5
24/03/2021,17,20.3,0.6,2.2,1.7,S,33,13:40,17.5,100,7,W,4,999.9,19.3,85,7,S,17,999.7,5549.13,2,18.525
9/05/2021,11,20.5,0.4,0,7.1,NW,28,13:06,13.7,97,6, ,1,1018.4,19.5,45,3,WNW,6,1014.9,5222.89,2,16.175
15/01/2021,13.2,20.6,0,7,7.9,WSW,50,14:49,16.4,53,4,NW,9,1009,16.6,46,7,WNW,13,1009,4742.85,2,16.7
21/02/2021,17.9,20.6,0,6,0,S,30,20:43,18.1,87,8,ESE,6,1011.4,19,75,8,SSW,13,1010.6,5031.1,1,18.9
16/03/2021,11.1,20.6,0,2.2,8,SSW,26,13:50,16.2,68,7,SSE,9,1026.7,19.6,62,1,SSW,13,1024.7,5580.93,2,16.875
19/04/2021,12,20.6,0,2.8,2.3,NW,30,13:27,15.3,64,6,N,9,1018.4,18.9,47,6,NNW,15,1014.1,5937.22,3,16.7
13/02/2021,14.7,20.8,0,6,4.9,S,35,14:54,17.2,68,6,W,6,1012.8,20.3,58,7,S,15,1014.8,4729.81,1,18.25
14/04/2021,11.5,20.8,0,7.8,6.8,N,43,01:40,18,46,1,NW,13,1010.9,20.1,46,7,WSW,11,1011.1,5731.88,3,17.6
25/05/2021,10.6,20.9,0,5.6,3.2,N,57,12:48,18.4,50,6,NNE,20,1015.3,15.5,76,8,N,22,1009.6,6347.45,3,16.35
25/03/2021,15.5,21.1,4.6,2.8,3.1,WNW,31,04:55,15.7,87,7,W,9,1005.3,19.8,52,7,WNW,13,1006.4,5385.08,3,18.025
27/03/2021,13.2,21.3,3.4,3.8,4.1,NW,31,14:21,14.9,88,7,NNW,7,1010.8,19.9,44,2,WNW,7,1010.6,4860.61,2,17.325
4/03/2021,13.6,21.4,0,4,2.6,WSW,35,22:37,15.3,60,7,WSW,11,1017.2,19,60,7,SSW,7,1015.3,5528.66,1,17.325
7/05/2021,10.5,21.5,0.2,2.4,3.6,NE,15,06:35,13.9,91,4,N,7,1014.8,20.2,37,6, ,1,1011.3,5957.64,4,16.525
12/01/2021,18.3,21.6,0,13.6,7.7,SSW,41,15:01,18.7,69,8,S,13,1016.3,20.1,60,1,SSW,17,1015.8,5349.3,2,19.675
29/01/2021,18.9,21.6,3.6,4.8,0.1,N,31,13:00,18.9,92,8,NNE,6,1011.9,20.1,92,8,N,13,1009.1,5737.11,2,19.875
1/03/2021,13.8,21.7,0,6.4,6.3,S,44,18:35,16.6,72,6,WSW,6,1012.3,19.7,67,6,S,15,1012.2,5225.37,1,17.95
21/03/2021,16.7,21.7,1.2,3,0,ESE,17,16:34,18.9,96,8,S,2,1022.6,21.5,86,8, ,1,1020,4958.01,2,19.7
31/01/2021,16.4,21.8,0,4,10.3,S,39,16:39,17.8,55,7,SE,13,1018.6,19.9,55,1,SSW,19,1017.2,4709.83,1,18.975
22/02/2021,15.9,21.8,0,2.8,6.3,SSW,43,15:24,17.8,71,7,WSW,9,1012.3,20.4,52,7,S,17,1012.5,5100.4,1,18.975
30/01/2021,16.7,21.9,43.2,3.6,4.5,S,33,16:34,17.9,74,5,WSW,7,1012.4,19.7,71,6,S,20,1013.3,4742.37,1,19.05
23/03/2021,17.6,22,13.8,0.6,0.6,SSW,30,14:29,17.8,100,7,SSE,4,1007.6,21,78,7,SSW,11,1002.5,5618.16,4,19.6
26/03/2021,11.2,22,0.2,2.8,6.5,N,33,12:05,13.3,77,1,NE,9,1013.7,20.4,46,7,NNW,17,1011,5651.13,2,16.725
14/01/2021,15,22.2,0,7,8,W,31,23:23,16.6,77,7,SW,7,1013.9,20.6,46,6,SSW,9,1013.1,5257.95,2,18.6
15/03/2021,8.9,22.2,0,2.4,5.2,S,24,22:26,11.1,74,5,NNE,9,1024.8,20.3,58,7,S,7,1023.3,5619.41,1,15.625
6/05/2021,7.6,22.2,0,2,8.4,SSE,19,00:01,10.8,83,1,NE,6,1021.6,21.6,56,1,WNW,2,1016.8,6342.41,4,15.55
22/08/2021,11.3,22.2,0,4,10.6,N,57,14:54,14.6,62,1,N,20,1014.5,21.6,37,1,NNW,37,1007.8,5325.33,2,17.425
18/01/2021,14.1,22.6,0,5.6,9,SSW,39,15:53,15.9,76,7,WSW,9,1018.1,20.6,58,2,S,19,1016.2,4895.82,1,18.3
20/01/2021,10.3,22.6,0,8,13,SSW,33,15:22,16.4,53,1,SE,11,1024.2,20.9,51,0,SSW,15,1020.2,5291.48,2,17.55
31/03/2021,11.4,22.8,0,3.2,8.9,S,19,15:44,15.3,77,7, ,1,1026.6,21,58,1,S,7,1023.7,5769.1,2,17.625
7/04/2021,14.9,23,0,3.2,4.9,SSW,20,16:55,15.8,82,8, ,1,1020.2,21.6,61,1,SSW,9,1015.8,5876.07,3,18.825
12/02/2021,17.4,23.3,4.6,12.2,5.6,SSW,28,04:17,17.5,67,7,WSW,11,1006,21.8,51,4,SW,9,1005.3,5460.87,1,20
20/02/2021,20.3,23.8,0,13.6,5.9,SSW,33,16:51,22.2,77,7, ,1,1013.2,22,76,4,SSW,11,1011.4,5984.31,1,22.075
