,minimum_temperature_in_dc,maximum_temperature_in_dc,rainfall_in_mm,evaporation_in_mm,sunshine_in_hours,direction_of_maximum_wind_gust,speed_of_maximum_wind_gust_in_kmph,time_of_maximum_wind_gust,9am_temperature_in_dc,9am_relative_humidity_in_pct,9am_cloud_amount_in_oktas,9am_wind_direction,9am_wind_speed_in_kmph,9am_msl_pressure_in_hpa,3pm_temperature_in_dc,3pm_relative_humidity_in_pct,3pm_cloud_amount_in_oktas,3pm_wind_direction,3pm_wind_speed_in_kmph,3pm_msl_pressure_in_hpa,max_demand,price_category,mean_temp
19/06/2021,9.1,16.2,2.2,1.6,4,SE,28,10:38,11.4,100,7,S,6,1024.5,13.4,86,6,SSW,13,1025.1,6263.41,4,12.525
29/08/2021,9.1,16.2,0.6,6.4,4.3,NNE,33,01:50,10.6,79,7,N,13,1011.4,12.8,84,7,S,6,1010.4,6227.89,4,12.175
11/05/2021,10.7,16.3,15.8,2.8,0.1,S,41,04:50,12.2,100,8,SSW,9,1018.7,15.7,71,7,SE,17,1021.3,6578.07,4,13.725
22/06/2021,3.7,16.3,0,2,1.9,NNE,28,13:37,5.6,91,7,NNE,6,1029.6,14.4,56,7,NNE,13,1026.2,7162.85,4,10
14/06/2021,9.7,16.4,0,1.4,1.6,ESE,15,16:16,11,89,7,NNE,7,1018,15.9,57,6,SSE,6,1015.5,6366.51,3,13.25
26/07/2021,8.1,16.4,0,1,2.9,NNW,43,10:41,12.4,75,7,N,13,1010.9,15.8,62,7,NNW,20,1009.7,6763.92,3,13.175
8/08/2021,5.8,16.4,0.6,1.2,5.5,N,17,08:51,7.2,100,1,N,11,1032.6,14.6,58,7,S,6,1029.3,6477.76,4,11
9/08/2021,7.1,16.4,0,2.8,2.7,N,30,13:56,9.1,82,7,NNE,9,1028.1,15.1,60,6,NNW,19,1023.3,6675.69,3,11.925
12/06/2021,7.4,16.5,9.4,0.4,1,WNW,33,12:32,12.7,85,7,WNW,7,1014.4,15.5,61,7,W,11,1014,6062.58,4,13.025
27/04/2021,11.8,16.6,0.6,2,0.9,W,19,08:57,13.4,87,7,WSW,9,1029.5,16.3,73,7,SSW,11,1026.7,6487.76,4,14.525
12/08/2021,8.1,16.6,2.8,4.4,4.7,NNW,31,10:24,10.6,71,7,N,11,1025.2,15.4,50,7,W,13,1024.3,6537.7,3,12.675
24/06/2021,9.8,16.7,0,1,5.2,N,41,12:07,12.6,85,1,N,6,1007.2,15.3,54,7,N,17,1004.9,6787.77,4,13.6
29/06/2021,4.2,16.7,0,2.2,8.8,NNW,43,14:12,6.8,88,1,NE,2,1032.5,16.2,55,2,N,19,1029.4,6950.26,3,10.975
12/04/2021,9.7,16.8,10,3.2,3.9,W,28,02:30,11.7,95,6,WNW,6,1023.7,16,65,6,SSW,11,1021.8,6415.58,3,13.55
28/07/2021,11.1,16.8,0,5.4,4.7,NNW,50,05:28,14.3,70,6,N,13,998.2,12,65,7,WNW,11,998.4,7125.58,3,13.55
28/04/2021,7.4,16.9,0.4,3,9.5,SSW,22,15:03,12.3,87,1, ,1,1026.4,14.8,70,5,S,13,1023.9,6461.27,4,12.85
10/05/2021,11.7,16.9,0.2,3.8,0.5,N,41,13:18,14.3,68,7,N,19,1010.2,16.2,56,7,NNW,13,1007.6,6352.55,4,14.775
3/06/2021,10.4,16.9,0.2,3.4,7.5,N,24,01:09,12.2,93,2,NE,7,1015.1,16.7,62,5,SSW,9,1012.9,6421.12,4,14.05
30/06/2021,5.5,16.9,0,1.2,6.8,N,39,14:04,11.3,79,1,NNE,9,1026.8,16.8,57,1,N,19,1022.6,6648.79,3,12.625
22/04/2021,9.9,17,0,4,1.6,WSW,30,16:15,13.4,62,7,NNW,13,1013.3,16.8,46,7,WNW,9,1012,6464.1,3,14.275
20/05/2021,12,17,0,4,0.2,N,37,01:01,12.7,62,7,N,17,1025.8,16.7,55,7,SW,4,1026.3,6763.11,3,14.6
15/07/2021,10,17.1,3,1.6,7,N,43,12:40,12.3,84,5,N,17,1000,16.4,67,4,N,22,996.6,6715.55,3,13.95
27/07/2021,10.1,17.1,0,3.4,4.3,N,67,21:40,11.1,67,2,N,19,1011.1,16.4,48,7,N,26,1003.7,6646.82,3,13.675
7/06/2021,10.7,17.2,0,1,2.6,N,59,14:39,12.5,73,7,N,22,1016.7,16.5,55,7,N,28,1009.3,6614.71,3,14.225
1/07/2021,10.5,17.2,0,1.4,8.9,NNW,35,12:17,12.3,86,1,N,11,1022.3,16.6,58,1,N,20,1019.1,6752.13,3,14.15
9/04/2021,13.8,17.3,6.2,6.4,7.9,S,35,03:11,15.2,59,5,W,13,1010,15.7,62,6,S,17,1009.6,5688.63,2,15.5
23/04/2021,12.1,17.3,0.4,3,2,WSW,31,09:24,14.7,66,7,W,11,1018.6,16.4,51,7,WSW,9,1018.5,6154.8,4,15.125
5/05/2021,7.2,17.3,0,0.8,9.1,SSW,30,12:37,12.2,83,1, ,1,1026,17,52,5,SSW,9,1023.4,6389.08,2,13.425
20/08/2021,8.7,17.3,0.8,3.6,3.2,N,50,14:27,11.3,80,6,NNE,11,1016.7,16.7,51,3,N,28,1012.1,6331.48,2,13.5
19/08/2021,8.2,17.4,0,2.6,8.3,N,31,15:18,11.6,72,5,N,13,1023.3,16.7,50,2,N,17,1019.3,6344.8,3,13.475
13/05/2021,8.1,17.6,0,1.2,1,NNW,39,11:57,14,65,7,N,15,1012.5,13.1,90,8,NW,9,1011.1,6679.05,3,13.2
13/08/2021,8.1,17.6,0,1.2,10.1,NW,33,13:04,11.8,73,1,N,15,1026.9,17.1,44,3,W,9,1025.1,6300.74,2,13.65
30/08/2021,6.4,17.6,4,1.4,7.4,NNW,50,14:04,11.1,70,7,N,15,1016.1,16.8,45,1,NNW,28,1013.2,6072.91,3,12.975
3/03/2021,14.2,17.7,0,4.4,2.1,SSW,33,14:42,15.2,62,7,SSE,11,1020,17.3,54,7,S,13,1019.8,5526.41,2,16.1
14/03/2021,11,17.7,17.2,7.4,10,SW,31,02:19,11.9,71,1,W,7,1021.1,17.2,49,5,S,15,1021.8,4920.14,1,14.45
17/04/2021,12.3,17.7,0,3.2,3.7,SSE,22,14:57,14.2,50,7,W,9,1025.6,16.7,50,7,S,13,1024,5450.82,3,15.225
21/05/2021,6.2,17.7,0,1.6,8.9,NNE,15,08:39,7.2,100,1,NNE,11,1031.9,16.4,44,1,SSW,7,1028.6,6736.74,4,11.875
10/08/2021,9.1,17.7,0,2.4,8.1,N,52,11:11,12.4,77,6,N,19,1022.4,17.5,45,6,N,24,1017.9,6234.67,3,14.175
25/04/2021,9.9,17.8,2.6,1.2,3.6,SSW,24,19:10,12.8,83,6,N,2,1027,16,70,7,SSW,4,1025.2,5835.47,3,14.125
28/08/2021,5.3,17.8,0,1.6,9.6,N,39,13:14,9.1,80,1,N,7,1018.6,17.4,31,3,NNW,24,1013.5,5716.32,2,12.4
26/04/2021,10.9,17.9,1.2,2.2,0.8,SSW,20,10:50,13.6,83,7,SW,6,1027.9,16.1,68,7,S,9,1027.1,6436.32,4,14.625
5/03/2021,15,18,1.4,4.4,3.6,S,35,00:36,15.8,55,7,S,13,1015.1,17.1,53,7,SSW,20,1015.7,5319.54,1,16.475
2/03/2021,13.3,18.1,0,6.2,1.4,SSW,39,13:24,14.7,55,7,S,15,1018.1,17,44,7,SSW,15,1018.6,5459.22,1,15.775
31/07/2021,9.9,18.1,0,7,6.3,N,54,01:23,13.1,54,1,N,20,1006.1,17.1,48,6,N,22,1002,6018.75,3,14.55
29/03/2021,13.8,18.2,1,2.8,8,SSW,35,14:21,15.4,73,7,SSW,11,1024,17.4,55,7,S,15,1024.7,5536.91,2,16.2
3/05/2021,12.5,18.2,0.2,6.8,0.8,S,28,18:35,15,80,7,SW,7,1019.6,17,74,7,SSW,9,1017.6,6183,2,15.675
10/04/2021,12.9,18.3,0.2,2.8,3.9,WSW,54,14:43,14.1,71,6,WNW,11,1007.9,15.4,53,7,SW,17,1008,5366.73,2,15.175
24/04/2021,13.1,18.3,0,3.2,1.8,NW,30,13:06,15.1,56,7,NNW,15,1023.2,17.3,58,7,SSE,2,1021.8,5763.75,3,15.95
8/07/2021,10.9,18.3,0,1.8,8.3,,33,,13.4,75,2,,9,1018.1,12,55,6,NE,9,1019.4,7685.69,4,13.65
29/04/2021,8.2,18.4,0,2.2,9.9,SSW,17,13:44,12,83,1, ,1,1025.1,17.5,66,2,SSW,9,1022.9,6405.5,4,14.025
14/08/2021,6.9,18.4,0,3.4,7.8,NNW,31,15:01,10.9,78,1,N,11,1028.7,17.3,41,6,WNW,13,1025.1,6049.06,3,13.375
